genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,Title
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10487,12,2,0.1464582,0.09407423,0.09064494,0.19668310880661,2.77753782272339,9,571.509255981445,2847.89885253906,105,1,0,106,465.9221875,11.78578125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10401,5,1,0.10943493,0.095417224,0.0916983,0.19668310880661,2.77753782272339,3,643.585614013672,3104.97218017578,305,0,0,306,653.8625,23.7521875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,36273,2,1,0.18115802,0.14077926,0.09124836,0.19668310880661,2.77753782272339,14,3618.81772460938,2584.11392822266,282,0,0,282,785.9896875,36.98296875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,163,2,4,0.11747892,0.10701346,0.08976208,0.19668310880661,2.77753782272339,4,2472.20092773438,1973.45948486328,435,0,0,438,551.3578125,36.8475,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,1499,2,12,0.13371989,0.13023034,0.091211736,0.19668310880661,2.77753782272339,15,4144.26381835937,2530.68843994141,305,0,0,305,624.6915625,23.5715625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,27445,11,1,0.13449897,0.12742752,0.08435204,0.19668310880661,2.77753782272339,21,1616.06032104492,3506.37741699219,100,0,0,100,526.4315625,13.4565625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,27900,5,2,0.10368703,0.09256646,0.09087259,0.19668310880661,2.77753782272339,3,4028.03005371094,944.06279296875,170,0,0,170,259.3775,10.295625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,12480,2,11,0.14197125,0.12539211,0.10633439,0.19668310880661,2.77753782272339,2,4689.87583007813,1786.10068359375,196,1,0,197,545.4875,31.6996875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,30107,2,7,0.13621017,0.1329054,0.107552774,0.19668310880661,2.77753782272339,13,5219.803515625,2602.85211181641,224,0,0,224,444.879375,18.28828125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,1500,4,1,0.1108698,0.10099169,0.09567247,0.19668310880661,2.77753782272339,14,4169.48491210938,2533.35734863281,144,0,0,144,367.39125,13.185625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
